"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1604","testInvalidRegister","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.RegisterTest","Surefire test","InValidScenarios.RegisterTest","testInvalidRegister"
"","6288","OpenNewAccount","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario2_OpenNewAccountTest","Surefire test","ValidScenarios.Scenario2_OpenNewAccountTest","OpenNewAccount"
"","471","inValidLogin","Surefire suite","2026-01-02","failed","2026-01-02","ValidScenarios.Scenario1_LoginVerificationTest","Surefire test","ValidScenarios.Scenario1_LoginVerificationTest","inValidLogin"
"","17438","TransferFundsBetweenAccountsLetters","Surefire suite","2026-01-02","broken","2026-01-02","InValidScenarios.TransferFundsBetweenAccountsTest","Surefire test","InValidScenarios.TransferFundsBetweenAccountsTest","TransferFundsBetweenAccountsLetters"
"","1633","testInvalidRegister","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.RegisterTest","Surefire test","InValidScenarios.RegisterTest","testInvalidRegister"
"","468","inValidLogin","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.LoginTest","Surefire test","InValidScenarios.LoginTest","inValidLogin"
"","1358","validLogin","Default Suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario3_TransferFundsBetweenAccountsTest","ParaBank","ValidScenarios.Scenario3_TransferFundsBetweenAccountsTest","validLogin"
"","15704","TransferFundsBetweenAccountsEmpty","Surefire suite","2026-01-02","broken","2026-01-02","InValidScenarios.TransferFundsBetweenAccountsTest","Surefire test","InValidScenarios.TransferFundsBetweenAccountsTest","TransferFundsBetweenAccountsEmpty"
"","126","validLogin","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario4_BillPayTest","Surefire test","ValidScenarios.Scenario4_BillPayTest","validLogin"
"","1022","testInvalidRegister","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.RegisterTest","Surefire test","InValidScenarios.RegisterTest","testInvalidRegister"
"","1078","testInvalidRegister","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.RegisterTest","Surefire test","InValidScenarios.RegisterTest","testInvalidRegister"
"","0","setupBaseTest","Surefire suite","2026-01-02","broken","2026-01-02","ValidScenarios.Scenario3_TransferFundsBetweenAccountsTest","Surefire test","ValidScenarios.Scenario3_TransferFundsBetweenAccountsTest","setupBaseTest"
"","1014","inValidLogin","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario1_LoginVerificationTest","Surefire test","ValidScenarios.Scenario1_LoginVerificationTest","inValidLogin"
"","1488","validRegisterTest","Surefire suite","2026-01-02","failed","2026-01-02","ValidScenarios.RegisterTest","Surefire test","ValidScenarios.RegisterTest","validRegisterTest"
"","248","validLogin","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario3_TransferFundsBetweenAccountsTest","Surefire test","ValidScenarios.Scenario3_TransferFundsBetweenAccountsTest","validLogin"
"","952","inValidLogin","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.LoginTest","Surefire test","InValidScenarios.LoginTest","inValidLogin"
"","8440","TransferFundsBetweenAccountsZero","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.TransferFundsBetweenAccountsTest","Surefire test","InValidScenarios.TransferFundsBetweenAccountsTest","TransferFundsBetweenAccountsZero"
"","0","setupBaseTest","Surefire suite","2026-01-02","broken","2026-01-02","ValidScenarios.Scenario4_BillPayTest","Surefire test","ValidScenarios.Scenario4_BillPayTest","setupBaseTest"
"","2758","BillPayTest","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario4_BillPayTest","Surefire test","ValidScenarios.Scenario4_BillPayTest","BillPayTest"
"","2467","validLogin","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario3_TransferFundsBetweenAccountsTest","Surefire test","ValidScenarios.Scenario3_TransferFundsBetweenAccountsTest","validLogin"
"","9548","TransferFundsBetweenAccountsTest","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario3_TransferFundsBetweenAccountsTest","Surefire test","ValidScenarios.Scenario3_TransferFundsBetweenAccountsTest","TransferFundsBetweenAccountsTest"
"","2898","BillPayTest","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario4_BillPayTest","Surefire test","ValidScenarios.Scenario4_BillPayTest","BillPayTest"
"","2859","BillPayTest","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario4_BillPayTest","Surefire test","ValidScenarios.Scenario4_BillPayTest","BillPayTest"
"","0","setupBaseTest","Surefire suite","2026-01-02","broken","2026-01-02","ValidScenarios.Scenario1_LoginVerificationTest","Surefire test","ValidScenarios.Scenario1_LoginVerificationTest","setupBaseTest"
"","1826","testInvalidRegister","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.RegisterTest","Surefire test","InValidScenarios.RegisterTest","testInvalidRegister"
"","2370","validLogin","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario1_LoginVerificationTest","Surefire test","ValidScenarios.Scenario1_LoginVerificationTest","validLogin"
"","123","validLogin","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.TransferFundsBetweenAccountsTest","Surefire test","InValidScenarios.TransferFundsBetweenAccountsTest","validLogin"
"","498","inValidLogin","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario1_LoginVerificationTest","Surefire test","ValidScenarios.Scenario1_LoginVerificationTest","inValidLogin"
"","1683","testInvalidRegister","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.RegisterTest","Surefire test","InValidScenarios.RegisterTest","testInvalidRegister"
"","959","inValidLogin","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.LoginTest","Surefire test","InValidScenarios.LoginTest","inValidLogin"
"","16892","validLogin","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario1_LoginVerificationTest","Surefire test","ValidScenarios.Scenario1_LoginVerificationTest","validLogin"
"","2986","validLogin","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario4_BillPayTest","Surefire test","ValidScenarios.Scenario4_BillPayTest","validLogin"
"","451","inValidLogin","Surefire suite","2026-01-02","broken","2026-01-02","ValidScenarios.Scenario1_LoginVerificationTest","Surefire test","ValidScenarios.Scenario1_LoginVerificationTest","inValidLogin"
"","1161","testInvalidRegister","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.RegisterTest","Surefire test","InValidScenarios.RegisterTest","testInvalidRegister"
"","452","inValidLogin","Surefire suite","2026-01-02","broken","2026-01-02","ValidScenarios.Scenario1_LoginVerificationTest","Surefire test","ValidScenarios.Scenario1_LoginVerificationTest","inValidLogin"
"","28207","validLogin","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario2_OpenNewAccountTest","Surefire test","ValidScenarios.Scenario2_OpenNewAccountTest","validLogin"
"","6334","TransferFundsBetweenAccountsNegative","Surefire suite","2026-01-02","failed","2026-01-02","InValidScenarios.TransferFundsBetweenAccountsTest","Surefire test","InValidScenarios.TransferFundsBetweenAccountsTest","TransferFundsBetweenAccountsNegative"
"","2","setupBaseTest","Surefire suite","2026-01-02","broken","2026-01-02","ValidScenarios.RegisterTest","Surefire test","ValidScenarios.RegisterTest","setupBaseTest"
"","918","inValidLogin","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.LoginTest","Surefire test","InValidScenarios.LoginTest","inValidLogin"
"","441","inValidLogin","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.LoginTest","Surefire test","InValidScenarios.LoginTest","inValidLogin"
"","1542","OpenNewAccount","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.TransferFundsBetweenAccountsTest","Surefire test","InValidScenarios.TransferFundsBetweenAccountsTest","OpenNewAccount"
"","1156","OpenNewAccount","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario3_TransferFundsBetweenAccountsTest","Surefire test","ValidScenarios.Scenario3_TransferFundsBetweenAccountsTest","OpenNewAccount"
"","1086","testInvalidRegister","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.RegisterTest","Surefire test","InValidScenarios.RegisterTest","testInvalidRegister"
"","997","inValidLogin","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario1_LoginVerificationTest","Surefire test","ValidScenarios.Scenario1_LoginVerificationTest","inValidLogin"
"","941","inValidLogin","Surefire suite","2026-01-02","passed","2026-01-02","InValidScenarios.LoginTest","Surefire test","InValidScenarios.LoginTest","inValidLogin"
"","5796","BillPayTest","Surefire suite","2026-01-02","passed","2026-01-02","ValidScenarios.Scenario4_BillPayTest","Surefire test","ValidScenarios.Scenario4_BillPayTest","BillPayTest"
"","1","setupBaseTest","Surefire suite","2026-01-02","broken","2026-01-02","ValidScenarios.Scenario2_OpenNewAccountTest","Surefire test","ValidScenarios.Scenario2_OpenNewAccountTest","setupBaseTest"
"","132","validLogin","Surefire suite","2026-01-02","failed","2026-01-02","ValidScenarios.Scenario2_OpenNewAccountTest","Surefire test","ValidScenarios.Scenario2_OpenNewAccountTest","validLogin"
